k_T,lam_T,k_C,lam_C,p_cen_target,n,div_hazard_mean,div_hazard_ci_low,div_hazard_ci_high,div_hazard_reject,div_IPCW_mean,div_IPCW_ci_low,div_IPCW_ci_high,div_IPCW_reject,sqrtmse_k_hazard,sqrtmse_k_IPCW,sqrtmse_lam_hazard,sqrtmse_lam_IPCW,score_gap_true_mean,score_gap_true_ci_low,score_gap_true_ci_high
0.75,2,0.75,12.699208,0.2,50,0.046515957,0.039111052,0.054404566,0,0.084132141,0.058379485,0.11950903,0,0.15512561,0.18081007,0.67619452,0.65843393,0.017247264,-0.024761507,0.057725098
0.75,2,0.75,12.699208,0.2,100,0.022205911,0.01899509,0.025345691,0,0.032587818,0.026586686,0.039545739,0,0.098940982,0.11101078,0.44859563,0.46460893,0.0078526239,-0.025783042,0.041034609
0.75,2,0.75,12.699208,0.2,200,0.010523349,0.0089315659,0.012219486,0,0.01415742,0.011239074,0.017277132,0,0.070312671,0.081820862,0.30238054,0.30768697,-0.002826172,-0.024269195,0.018485273
0.75,2,0.75,12.699208,0.2,500,0.0036816547,0.0031112666,0.0042559922,0,0.0056478222,0.004463347,0.0068634005,0,0.039886813,0.044871619,0.17981645,0.18420691,-0.0054727892,-0.020037116,0.0081888361
0.75,2,0.75,12.699208,0.2,1000,0.002014031,0.0017005905,0.0023397364,0,0.0035001923,0.0026264245,0.0045397022,0,0.03032232,0.033524658,0.13677867,0.13877769,-0.0016580814,-0.011747108,0.0081199132
0.75,2,0.75,12.699208,0.2,5000,0.00039264862,0.00033212215,0.00045660804,0,0.00060006416,0.00047434376,0.0007329958,0,0.012541419,0.013846092,0.06127254,0.061366008,-0.0059309935,-0.010478667,-0.001629942
0.75,2,0.75,12.699208,0.2,20000,0.00010743081,9.2377357e-05,0.00012245333,0,0.00015988458,0.00012660753,0.00019718386,0,0.0064053675,0.0067836873,0.031519092,0.03222558,-0.0022465673,-0.0043765238,-9.8780321e-05
0.75,2,0.75,3.4341427,0.4,50,0.051599481,0.042956207,0.060731194,0,0.26052902,0.15178685,0.41233885,0,0.19172989,0.29773511,0.94991652,0.74579191,0.2184569,0.12830756,0.31507454
0.75,2,0.75,3.4341427,0.4,100,0.019601169,0.016559391,0.022807116,0,0.087792197,0.051311479,0.13595349,0,0.11708587,0.17134956,0.54110275,0.55805714,0.050304469,-0.014728179,0.11918421
0.75,2,0.75,3.4341427,0.4,200,0.0093111488,0.0079085501,0.010767239,0,0.032507608,0.022316528,0.044211466,0,0.075272641,0.1148102,0.33451564,0.41100257,0.082636901,0.042216258,0.12558072
0.75,2,0.75,3.4341427,0.4,500,0.0041211136,0.0034990187,0.0047900377,0,0.015564742,0.011037752,0.020648409,0,0.047804394,0.076210594,0.22161913,0.26887265,0.016320887,-0.017430556,0.051235518
0.75,2,0.75,3.4341427,0.4,1000,0.0021779166,0.0018631593,0.0025104148,0,0.007989511,0.0056747132,0.010366723,0,0.034981449,0.056553655,0.16394735,0.19233906,0.013209051,-0.012963751,0.043725826
0.75,2,0.75,3.4341427,0.4,5000,0.0003679735,0.00031055545,0.00042833077,0,0.0012561692,0.00068692796,0.0018803934,0,0.014502728,0.025035876,0.068159142,0.089404041,0.010828056,-0.0022824421,0.025035815
0.75,2,0.75,3.4341427,0.4,20000,0.0001076176,9.1148046e-05,0.00012382855,0,0.00042327022,0.00024072536,0.00061912418,0,0.0078963605,0.014299008,0.036044984,0.045192484,0.005953102,-0.00071881529,0.012543798
0.75,2,0.75,1.164774,0.6,50,0.054962228,0.044558482,0.066639212,0,1.2725586,0.61000041,2.1340463,0,0.23390736,0.51065419,1.697072,1.0373487,0.48843677,0.31206681,0.68924882
0.75,2,0.75,1.164774,0.6,100,0.023251501,0.019296266,0.027301982,0,0.23204214,0.13295375,0.3553696,0,0.15048388,0.32698644,0.78366278,0.8685033,0.34995863,0.17484231,0.57247616
0.75,2,0.75,1.164774,0.6,200,0.010124858,0.0086167412,0.011632892,0,0.12682378,0.07485381,0.18822084,0,0.098094117,0.23495514,0.51445666,0.73327649,0.40005556,0.073378436,0.88576529
0.75,2,0.75,1.164774,0.6,500,0.0040468771,0.0034089708,0.004716974,0,0.032764633,0.012668969,0.057072112,0,0.059901528,0.15224115,0.29577055,0.56103328,0.21402369,0.098672817,0.35809835
0.75,2,0.75,1.164774,0.6,1000,0.0019464746,0.0016397578,0.0022591589,0,0.013664336,0.0045246263,0.024069376,0,0.040044809,0.11853847,0.19856188,0.45701491,0.20858935,0.096993302,0.34978895
0.75,2,0.75,1.164774,0.6,5000,0.00049826356,0.00043882091,0.00056155886,0,0.0098305555,0.0042211085,0.01661586,0,0.018660831,0.071872699,0.094337383,0.28178318,0.035256858,0.0013565276,0.074700936
0.75,2,0.75,1.164774,0.6,20000,0.00010619174,9.0182936e-05,0.00012232736,0,0.0024724148,0.00090824778,0.0040915439,0,0.0094579034,0.047830831,0.046106647,0.1742205,0.032111386,0.0081789745,0.061992282
1,2,1,8,0.2,50,0.050488636,0.042338771,0.059676967,0,0.060139138,0.049035169,0.071757374,0,0.19949865,0.22553165,0.46415581,0.4652253,0.019336811,-0.016558027,0.054107144
1,2,1,8,0.2,100,0.022505749,0.019051934,0.026173846,0,0.034544666,0.028075797,0.041172652,0,0.12500149,0.14225451,0.33081128,0.33605372,-0.026248915,-0.053109954,-0.00090362654
